program,state,txn_amt,txn_cnt
Outreach,AK,4,2
Outreach,AL,133,23
Outreach,AR,100,16
Outreach,AZ,15323,40
Outreach,CA,9983,69
Outreach,CO,117,18
Outreach,CT,675,55
Outreach,DC,32,11
Outreach,DE,139,27
Outreach,FL,25824,112
Outreach,GA,1298,66
Outreach,HI,888,13
Outreach,IA,2170,13
Outreach,ID,7,4
Outreach,IL,19009,36
Outreach,IN,11543,36
Outreach,KS,2008,15
Outreach,KY,240,24
Outreach,LA,27540,37
Outreach,MA,25263,81
Outreach,MD,379,54
Outreach,ME,3750,24
Outreach,MI,1539,30
Outreach,MN,32,9
Outreach,MO,7595,16
Outreach,MS,10164,24
Outreach,MT,209,6
Outreach,NC,15510,69
Outreach,ND,6,2
Outreach,NE,866,8
Outreach,NH,5796,43
Outreach,NJ,39756,318
Outreach,NM,463,20
Outreach,NV,738,32
Outreach,NY,546078,8972
Outreach,OH,22769,70
Outreach,OK,82,16
Outreach,OR,7502,16
Outreach,PA,50564,116
Outreach,PR,227,22
Outreach,RI,72,24
Outreach,SC,2991,60
Outreach,SD,4,3
Outreach,ST,1,1
Outreach,TN,920,30
Outreach,TX,8466,72
Outreach,UT,32,5
Outreach,VA,5413,76
Outreach,VT,43,16
Outreach,WA,2271,18
Outreach,WI,718,21
Outreach,WV,231,29
Outreach,WY,4,3
